state,city
Odisha,Sri Ganganagar
Odisha,Dausa
Odisha,Chitorgarh
Tamil Nadu,Jalrapatan
Delhi,Chhoti Sadri
Delhi,Ghatol
Delhi,Kotputli
Delhi,Lohariya
Haryana,Jaitsar
Uttar Pradesh,Reodar
Assam,Bidasar
Delhi,Partapur
Madhya Pradesh,Fatehpur Shekhawati
Punjab,Sayla
Kerala,Chitri
Kerala,Jhunjhunu
Kerala,Galiyakot
Kerala,Dhariawad
Kerala,Bar
Uttar Pradesh,Kosikalan
Maharashtra,Bar
Bihar,Goplalganj
Maharashtra,Nanded (South)
Maharashtra,Ratnagiri
Gujarat,Sabarkanths
Tripura,Tripura West
Maharashtra,Vasai
Delhi,Bhogal
Nepal,Nepal
Odisha,BBSR
Goa,Panaji
Maharashtra,Jamkhed
Delhi,Chatterpur
Gujarat,Bhuj
Gujarat,Jhalod
Gujarat,Upleta
Gujarat,Gandhidham
Gujarat,Unjha
Gujarat,Idar
Gujarat,Dhansura
Gujarat,Dholka
Gujarat,Padra
Gujarat,Umreth
Gujarat,Bayad
Gujarat,Dhandhuka
Gujarat,Dhanera
Gujarat,Kathlal
Gujarat,Kanodar
Gujarat,Dantiwada
Gujarat,Chotaudaipur
Maharashtra,Sangamner
Maharashtra,Shrirampur
Maharashtra,Malegaon
Maharashtra,Chalisgaon
Maharashtra,Dondaicha
Maharashtra,Jintur
Madhya Pradesh,Pathri
Maharashtra,Purna
Maharashtra,Savda
Maharashtra,Vaijapur
Bihar,Bettiah
Maharashtra,Sailu
Maharashtra,Parali
Maharashtra,Dhule
Maharashtra,Jamner
Bihar,Aurangabad (Bihar)
Bihar,Bihiya
Maharashtra,Bhokar
Maharashtra,Parola
Bihar,Bhabua
Bihar,Kahalgaon
Bihar,Narkatiyagunj
Maharashtra,Tarapur
Gujarat,Billimora
Gujarat,Sankheda
Gujarat,Jambusar
Bihar,Gopalgunj
Gujarat,Viramgam
Gujarat,Halol
Gujarat,Bodeli
Telangana,Ghatkeshwar
Maharashtra,Washim
Gujarat,Dehgam
Maharashtra,Jaisingpur
Maharashtra,Karad
Maharashtra,Koregaon
Maharashtra,Tasgoan
Maharashtra,Wai
Bihar,Raxual
Karnataka,Bijapur
Uttar Pradesh,Muzaffarnagar
Haryana,Ambala Cantt
Uttar Pradesh,Shikohabad
Maharashtra,Kalamboli
Maharashtra,Kamothe
Maharashtra,Ulahasnagar
Madhya Pradesh,Mandsour
Telangana,Jambagh
Telangana,New Aghapur
Telangana,Hyderabad Shah Inyat Gunj
Telangana,Bollaram
Telangana,Miyapur â€“Hyderabad
Haryana,Narnol
Uttar Pradesh,Kasganj
Madhya Pradesh,Dhoti  Vindhyanagar
Haryana,Kundli
Haryana,Hayatpur
Haryana,Hodal
Bihar,Nalanda
Bihar,Phulwari
Uttar Pradesh,Akbarpur
Uttar Pradesh,Chitrkoot
Uttar Pradesh,Prayagraj
Uttar Pradesh,Shahajanpur
Uttar Pradesh,Bhatani
Himachal Pradesh,Kotkhai
West Bengal,Barddhaman
West Bengal,Chowranghee
West Bengal,Rupnarayanpur
West Bengal,Kakdwip
West Bengal,Bongaon
West Bengal,Bibirhat
West Bengal,Jiaganj
West Bengal,Durgapur Purba
West Bengal,Baliadanga
West Bengal,Shyamnagar
West Bengal,Babupur
West Bengal,Sonarpur
West Bengal,South Andaman
West Bengal,Beleghata
West Bengal,Neamatpur
West Bengal,Khanakul
West Bengal,Ukra
West Bengal,Bhangar
West Bengal,Baranagar
West Bengal,Dalkhola
West Bengal,Sikkim
West Bengal,Coochbehar
West Bengal,Tufanganj
West Bengal,Cooch Behar (Dakshin)
West Bengal,Ramsagar
West Bengal,Kathjuridanga
West Bengal,Shyamsunderpur
West Bengal,Mindnapore
West Bengal,Ghatal
West Bengal,Baghmundi
West Bengal,Salboni
Uttar Pradesh,Chowranghee
Uttar Pradesh,Rupnarayanpur
Punjab,Bherampur Bet
Punjab,Manimajra
Punjab,Bhikhi
Punjab,Hambran
Punjab,Kapurthla
Jammu and Kashmir,Dewal
Assam,Gauhati East
Maharashtra,Kandivali (west)
Tamil Nadu,"Choolai, Chennai"
Tamil Nadu,"Parktown, Chennai"
Tamil Nadu,"Egmore, Chennai"
Tamil Nadu,"Ambattur, Chennai"
Tamil Nadu,"Maduravoyal, Chennai"
Tamil Nadu,"Mogappair, Chennai"
Tamil Nadu,"Mathur, Chennai"
Tamil Nadu,"Arumbakkam, Chennai"
Tamil Nadu,"Ponneri, Chennai"
Tamil Nadu,"Sti.Thomas Mount, Chennai"
Tamil Nadu,"Kodambakkam, Chennai"
Tamil Nadu,"Porur, Chennai"
Tamil Nadu,"Chennai, Alapakkam"
Tamil Nadu,"Perungalathur, Chennai"
Tamil Nadu,"Ashoknagar, Chennai"
Tamil Nadu,"Valasaravakkam, Chennai"
Tamil Nadu,"Thiruvanmiyur, Chennai"
Tamil Nadu,"Mylapore, Chennai"
Tamil Nadu,"T.Nagar, Chennai"
Tamil Nadu,"Nanganallur, Chennai"
Tamil Nadu,"Medavakkam, Chennai"
Tamil Nadu,"Pallikaranai, Chennai"
Tamil Nadu,"Sithalapakkam, Chennai"
Tamil Nadu,Kanchipuram
Tamil Nadu,Rajakilpakkam
Tamil Nadu,"Pallavaram, Chennai"
Tamil Nadu,"Hasthinapuram, Chennai"
Tamil Nadu,Paduvancherry
Tamil Nadu,Chengalpattu
Tamil Nadu,Selaiyur
Tamil Nadu,"West Tambaram, Chennai"
Tamil Nadu,Maraimalai Nagar
Tamil Nadu,Arcot
Tamil Nadu,Walajapet
Tamil Nadu,Anaicut
Tamil Nadu,Cuddalore
Tamil Nadu,Chinnasalem
Tamil Nadu,Virudhachalam
Tamil Nadu,Tindivanam
Tamil Nadu,Vadakuthu
Tamil Nadu,Aranthangi
Tamil Nadu,Ayyampettai
Tamil Nadu,Peravurani
Tamil Nadu,Sulur
Tamil Nadu,Thindal
Tamil Nadu,Edappadi
Tamil Nadu,Dharamapuri
Tamil Nadu,Palacode
Tamil Nadu,Harur
Tamil Nadu,Uthangarai
Tamil Nadu,Kelamangalam
Tamil Nadu,Gobichettipalayam
Kerala,Vallakadavu
Kerala,Chalai
Kerala,Kottarakakra
Kerala,Katakada
Kerala,Karamana
Kerala,Pallimukku
Kerala,Kalluvathukkal
Kerala,Mayyanadu
Kerala,Enathu
Kerala,Karunagapally
Kerala,Bharanikavu
Kerala,Aranmula
Kerala,Nedumangadu
Kerala,Ezhamkulam
Kerala,Pettah
Kerala,Vembayam
Kerala,Thattarkonam
Kerala,Nullipady
Kerala,Mattanur
Kerala,South Bazar
Kerala,Nadapuram
Kerala,Thalassery
Kerala,New Mahi
Kerala,Kalapatta
Kerala,Thammanam
Kerala,Edapally
Kerala,Erattupetta
Kerala,Perumthuruthy
Kerala,Kalathode
Kerala,Triprayar
Kerala,Trikkakara
Kerala,Poovarany
Kerala,Kaloor
Kerala,Arookutty
Kerala,Ettumanoor
Kerala,Kuttur
Kerala,Kottappadi
Kerala,Pazhayannur
Kerala,Kuruvilassery
Kerala,Kalmandapam
Kerala,Manapadi
Kerala,Perambra
Kerala,Kanhipura
Kerala,Kondotty
Kerala,Ottapalam
Kerala,Kongad
Kerala,Perithalmanna
Kerala,Mankavu
Kerala,Manapullikavu
Kerala,Vallapuzha
Kerala,Balussery
Kerala,Chembukkavu
Kerala,Killipalam
Kerala,Pathirapala
Tamil Nadu,Sivagangai
Tamil Nadu,Cumbum
Tamil Nadu,Mulagumoodu
Tamil Nadu,Puliyankudi
Tamil Nadu,Kulathur
Telangana,Ida Patancheru
Telangana,Narsingi
Telangana,Warangal (East)
Telangana,Goshamahal
Telangana,Gajwel
Telangana,Husnabad
Telangana,Hanamkonda
Telangana,Shadnagar
Telangana,"KPBH Colony, Hyderabad"
Telangana,Armoor
Telangana,"Fathe Nagar, Hyderabad"
Karnataka,Gulbarga
Karnataka,Ranebennur
Karnataka,Sindhanur
Karnataka,Mahalingpur
Rajasthan,Sri Ganganagar
Rajasthan,Dausa
Rajasthan,Chitorgarh
Rajasthan,Jalrapatan
Rajasthan,Chhoti Sadri
Rajasthan,Ghatol
Rajasthan,Kotputli
Rajasthan,Lohariya
Rajasthan,Bhawani Mandi
Rajasthan,Jaitsar
Rajasthan,Reodar
Rajasthan,Bidasar
Rajasthan,Partapur
Rajasthan,Fatehpur Shekhawati
Rajasthan,Palsana
Rajasthan,Mahwa
Rajasthan,Chomu
Rajasthan,Neem Ka Thana
Rajasthan,Sayla
Rajasthan,Dholpur
Rajasthan,Chitri
Rajasthan,Jhunjhunu
Rajasthan,Galiyakot
Rajasthan,Dhariawad
Rajasthan,Bar
Kerala,Ponnurunni
Kerala,Wadakkancherry
Andhra Pradesh,Addanki
Andhra Pradesh,Akividu
Andhra Pradesh,Atmakur
Andhra Pradesh,Badvel
Andhra Pradesh,Cheepurupalli
Andhra Pradesh,Darsi
Andhra Pradesh,Dhone
Andhra Pradesh,Gajuwaka
Andhra Pradesh,Giddalur
Andhra Pradesh,Gorantla
Andhra Pradesh,Jangareddy Gudem
Andhra Pradesh,Kalakada
Andhra Pradesh,Kalyandurg
Andhra Pradesh,Sompeta
Andhra Pradesh,Kodur
Andhra Pradesh,Machalipatnam
Andhra Pradesh,Madakasira
Andhra Pradesh,Maduravada
Andhra Pradesh,Mangalagiri
Andhra Pradesh,Mydukur
Andhra Pradesh,Naidupeta
Andhra Pradesh,Nandigama
Andhra Pradesh,Narasannapeta
Andhra Pradesh,Narpala
Andhra Pradesh,Palakonda
Andhra Pradesh,Palamaner
Andhra Pradesh,Penukonda
Andhra Pradesh,Porumamilla
Andhra Pradesh,Pulivendula
Andhra Pradesh,Tadipatri
Andhra Pradesh,Tatipaka
Andhra Pradesh,Tekkali
Andhra Pradesh,Udayagiri
Andhra Pradesh,Urvakonda
Andhra Pradesh,Vinjamur
Andhra Pradesh,Visakhapatanam
Uttarakhand,Barddhaman
Andhra Pradesh,Tirupathi
Goa,Margao
Gujarat,"Aravalli
"
Odisha,Sundergarh
West Bengal,Parganas
Andhra Pradesh,Ravulapalem
Bihar,Udwant Nagar
Karnataka,Gundlupete
West Bengal,Khardaha
Bihar,FORBESGAN
Odisha,Balesore
Uttar Pradesh,Raebareli